Company Name,State,Data Year,Utility Specific Residual Mix Emissions Rate (lbs CO2/MWh),Utility Average Emissions Rate (lbs CO2/MWh),Protocol,Emissions Certified- EPA Part 75 ,Emission Totals and Intensity Rates: Third-Party Verified
"Algonquin Power and Utilities Corp, Liberty Utilities",AR,2021,924.7,630.04,WRI/WBCSD,--,No
"Algonquin Power and Utilities Corp, Liberty Utilities",AR,2022,906.56,686.68,WRI/WBCSD,--,Other
"Algonquin Power and Utilities Corp, Liberty Utilities",CA,2021,837.36,837.36,WRI/WBCSD,--,No
"Algonquin Power and Utilities Corp, Liberty Utilities",CA,2022,971.7,971.7,WRI/WBCSD,--,Other
"Algonquin Power and Utilities Corp, Liberty Utilities",KS,2021,924.7,630.04,WRI/WBCSD,--,No
"Algonquin Power and Utilities Corp, Liberty Utilities",KS,2022,906.56,686.68,WRI/WBCSD,--,Other
"Algonquin Power and Utilities Corp, Liberty Utilities",MO,2021,924.7,630.04,WRI/WBCSD,--,No
"Algonquin Power and Utilities Corp, Liberty Utilities",MO,2022,906.56,686.68,WRI/WBCSD,--,Other
"Algonquin Power and Utilities Corp, Liberty Utilities",NH,2021,733.14,733.14,WRI/WBCSD,--,Other
"Algonquin Power and Utilities Corp, Liberty Utilities",OK,2021,924.7,630.04,WRI/WBCSD,--,No
"Algonquin Power and Utilities Corp, Liberty Utilities",OK,2022,906.56,686.68,WRI/WBCSD,--,Other
ALLETE Minnesota Power,MN,2022,835.8059127,835.8059127,--,--,No
ALLETE Minnesota Power,MN,2021,1006.375302,1006.375302,--,--,No
Alliant Energy Corp. - Interstate Power and Light (IPL),IA,2021,1059,--,--,--,--
Alliant Energy Corp. - Interstate Power and Light (IPL),IA,2022,842,--,--,--,--
Alliant Energy Corp. - Wisconsin Power and Light (WPL),WI,2021,1294,--,--,--,--
Alliant Energy Corp. - Wisconsin Power and Light (WPL),WI,2022,1159,--,--,--,--
Ameren Corporation Ameren Illinois,IL,2021,--,1071,Other,--,No
Ameren Corporation Ameren Illinois,IL,2022,--,1138,Other,--,No
Ameren Corporation Ameren Missouri,MO,2021,--,1603,Other,Yes,No
Ameren Corporation Ameren Missouri,MO,2022,--,1431,Other,Yes,No
American Electric Power AEP Ohio,OH,2021,985,985,WRI/WBCSD,--,No
American Electric Power AEP Ohio,OH,2022,1001,1046,WRI/WBCSD,--,No
American Electric Power Appalachian Power Company,VA/WV,2021,1522,1504,WRI/WBCSD,--,No
American Electric Power Appalachian Power Company,VA/WV,2022,1384,1373,WRI/WBCSD,--,No
American Electric Power Appalachian Power Company - Kingsport Power,TN,2021,834,834,WRI/WBCSD,--,No
American Electric Power Appalachian Power Company - Kingsport Power,TN,2022,932,932,WRI/WBCSD,--,No
American Electric Power Appalachian Power Company - Wheeling Power,WV,2021,1506,1506,WRI/WBCSD,--,No
American Electric Power Appalachian Power Company - Wheeling Power,WV,2022,1468,1468,WRI/WBCSD,--,No
American Electric Power Indiana Michigan Power Company,IN/MI,2021,507,504,WRI/WBCSD,--,No
American Electric Power Indiana Michigan Power Company,IN/MI,2022,662,626,WRI/WBCSD,--,No
American Electric Power Kentucky Power Company,KY,2021,1452,1452,WRI/WBCSD,--,No
American Electric Power Kentucky Power Company,KY,2022,1506,1506,WRI/WBCSD,--,No
American Electric Power Public Service Company of Oklahoma,OK,2021,1024,954,WRI/WBCSD,--,No
American Electric Power Public Service Company of Oklahoma,OK,2022,1156,963,WRI/WBCSD,--,No
American Electric Power Southwestern Electric power Company,AR/LA/TX,2021,1477,1477,WRI/WBCSD,--,No
American Electric Power Southwestern Electric power Company,AR/LA/TX,2022,1473,1431,WRI/WBCSD,--,No
Avista Corporation Avista Utilities,WA/ID,2022,581.9354406,578.8436696,WRI/WBCSD,Yes,No
Avista Corporation Avista Utilities,WA/ID,2021,570,564,WRI/WBCSD,--,--
CMS Energy Consumers Energy,MI,2021,1140,1106,The Climate Registry,Yes,No
CMS Energy Consumers Energy,MI,2022,1249,1216,The Climate Registry,Yes,No
Dominion Energy Dominion Energy Virginia,VA/NC,2021,693,700,The Climate Registry,Yes,The Climate Registry's General Verification Protocol
Dominion Energy Dominion Energy Virginia,VA/NC/WV,2022,661,668,The Climate Registry,Yes,Part 75 - CO2 CEMS emissions/ third party - Reasonable assurance climate CDP
Dominion Energy South Carolina Electric and Gas,SC,2021,912,913,The Climate Registry,Yes,The Climate Registry's General Verification Protocol
